Days since launch,Last year,Progress to date
0,$0,$0
1,"$3,867","$4,962"
2,"$5,736","$8,163"
3,"$8,352","$12,746"
4,"$10,784","$15,736"
5,"$11,573","$23,658"
6,"$13,756","$25,735"
7,"$14,112","$27,562"
8,"$15,836","$28,563"
9,"$17,836","$31,967"
10,"$19,710","$33,967"
11,"$20,174",NA
12,"$24,967",NA
13,"$26,937",NA
14,"$27,947",NA
15,"$29,753",NA
16,"$32,957",NA
17,"$34,027",NA
18,"$34,532",NA
19,"$36,345",NA
20,"$39,271",NA
21,"$43,287",NA
22,"$43,900",NA
23,"$44,783",NA
24,"$45,937",NA
25,"$46,735",NA
26,"$47,110",NA
27,"$48,037",NA
28,"$49,736",NA
29,"$50,123",NA
30,"$51,400",NA
